,0,1,2,3,4,5,6,7,8,9
0,3.8837,3.8522,3.5441,3.915,3.9839,4.1336,3.5766,3.6982,3.4771,3.5329
1,4.3106,3.6218,3.8116,4.3275,3.8093,3.8094,3.9507,3.505,3.7248,3.7795
2,3.6521,3.9519,3.8483,3.6179,3.8198,3.7961,3.6262,3.7129,3.9519,3.6756
3,3.4516,3.7847,3.8004,3.4567,4.1202,3.6579,3.7487,3.3216,3.6784,3.9179
4,3.8485,3.8969,3.7094,3.6277,3.4857,3.8317,3.5013,3.7374,3.4057,3.4763
5,3.808,3.9783,3.8333,3.6445,3.7079,3.6283,3.9297,3.7768,3.6852,4.0627
6,4.1139,3.7363,3.7093,3.5814,3.7217,4.006,3.5979,3.6914,3.8763,3.9482
7,3.7793,3.8003,3.6228,3.8444,3.567,3.7676,3.5116,3.8394,3.712,3.9002
8,3.8394,3.5123,3.7261,3.2846,3.2685,3.6692,3.7756,3.711,3.6751,3.6509
9,3.8308,3.7734,4.226,4.0012,3.9308,3.4505,3.8239,4.0309,3.4985,3.7184
10,3.6899,3.8956,3.8556,3.8717,4.0389,3.8467,3.7675,3.6403,3.6279,4.1471
11,3.6894,3.511,3.6339,3.8454,3.9864,3.75,4.079,3.8062,3.8176,3.9684
12,4.1024,4.0866,3.854,3.6661,3.6845,3.5788,3.5882,3.6943,3.9602,3.9633
13,3.6422,3.8002,3.4514,3.8031,3.5193,3.8266,3.5906,3.8425,3.5752,4.0898
14,3.8046,3.5214,4.1475,3.8684,3.8813,3.6452,3.9029,3.6681,3.7624,4.1402
15,3.6763,3.7328,3.5861,4.0399,3.7077,3.8982,3.8025,3.6994,3.5146,4.1125
16,3.6817,3.6284,3.6751,3.9315,3.6871,3.7765,3.9731,3.7353,3.6806,4.1922
17,3.6946,3.8382,3.6741,3.7034,3.6316,3.8494,3.6628,3.5451,3.7687,3.9149
18,3.536,3.792,3.4231,3.6739,3.5562,3.6388,3.641,4.0708,3.8195,3.8475
19,3.9849,3.867,3.6458,3.7796,3.8223,3.7554,3.6917,3.6113,3.9369,3.7399
